Alces alces
Lappula squarrosa
Mertensia maritima
Myosotis arvensis
Myosotis discolor
Myosotis laxa
Myosotis scorpioides
Myosotis sylvatica
Symphytum officinale
Alliaria petiolata
Alyssum alyssoides
Arabis drummondii
Arabis hirsuta var. pycnocarpa
Armoracia rusticana
Barbarea vulgaris
Berteroa incana
Brassica juncea
Brassica nigra
Brassica rapa
Cakile edentula
Camelina microcarpa
Camelina sativa
Capsella bursa-pastoris
Cardamine impatiens
Cardamine longii
Cardamine parviflora var. arenicola
Cardamine pensylvanica
Cardamine pratensis
Conringia orientalis
Draba verna
Erysimum cheiranthoides
Hesperis matronalis
Iberis umbellata
Lepidium campestre
Lepidium densiflorum
Lepidium virginicum
Raphanus raphanistrum
Raphanus sativus
Rorippa palustris ssp. fernaldiana
Rorippa sylvestris
Sinapis arvensis
Sisymbrium altissimum
Sisymbrium officinale
Subularia aquatica
Thlaspi arvense
Reseda alba
Reseda lutea
Amaranthus albus
Amaranthus hybridus
Amaranthus retroflexus
Atriplex acadiensis
Atriplex glabriuscula
Atriplex littoralis
Atriplex patula
Atriplex prostrata
Chenopodium album
Chenopodium glaucum
Chenopodium murale
Chenopodium simplex
Salicornia depressa
Salicornia maritima
Salsola kali
Suaeda calceoliformis
Suaeda linearis
Suaeda maritima ssp. maritima
Suaeda maritima ssp. richii
Agrostemma githago
Cerastium arvense
Cerastium fontanum ssp. vulgare
Cerastium tomentosum
Dianthus armeria
Dianthus deltoides
Dianthus plumarius
Honckenya peploides ssp. robusta
Minuartia glabra
Minuartia groenlandica
Moehringia lateriflora
Sagina nodosa ssp. borealis
Sagina nodosa ssp. nodosa
Sagina procumbens
Saponaria officinalis
Silene antirrhina
Silene armeria
Silene latifolia ssp. alba
Silene noctiflora
Silene nutans
Silene vulgaris
Spergula arvensis
Spergularia canadensis
Spergularia rubra
Spergularia salina
Stellaria alsine
Stellaria borealis
Stellaria calycantha
Stellaria graminea
Stellaria humifusa
Stellaria longifolia
Stellaria media
Vaccaria hispanica
Drosera intermedia
Drosera rotundifolia
Drosera rotundifolia var. comosa
Mollugo verticillata
Montia fontana
Limonium carolinianum
Fagopyrum esculentum
Fallopia cilinodis
Fallopia convolvulus
Fallopia japonica
Fallopia scandens
Persicaria amphibia var. stipulacea
Persicaria careyi
Persicaria hydropiper
Persicaria lapathifolia
Persicaria maculosa
Persicaria pensylvanica
Persicaria punctata
Persicaria sagittata
Polygonella articulata
Polygonum arenastrum
Polygonum aviculare
Polygonum buxiforme
Polygonum fowleri
Polygonum prolificum
Polygonum raii
Polygonum ramosissimum
Rumex acetosella
Rumex altissimus
Rumex crispus
Rumex longifolius
Rumex obtusifolius
Rumex orbiculatus
Rumex pallidus
Rumex patientia
Rumex salicifolius var. mexicanus
Rumex verticillatus
Portulaca oleracea
Celastrus orbiculata
Ceratophyllum echinatum
Pontederia cordata
Cornus alternifolia
Cornus canadensis
Cornus rugosa
Cornus sericea
Echinocystis lobata
Sambucus canadensis
Sambucus racemosa ssp. pubens
Viburnum acerifolium
Viburnum dentatum var. dentatum
Viburnum dentatum var. lucidum
Viburnum lantanoides
Viburnum nudum var. cassinoides
Viburnum opulus var. opulus
Lonicera canadensis
Lonicera japonica
Lonicera morrowii
Lonicera villosa
Lonicera villosa var. calvescens
Lonicera villosa var. solonis
Lonicera X bella
Lonicera xylosteum
Symphoricarpos albus
Diervilla lonicera
Linnaea borealis ssp. longiflora
Valeriana officinalis
Equisetum arvense
Equisetum fluviatile
Equisetum palustre
Equisetum sylvaticum
Actinidia arguta
Impatiens capensis
Impatiens glandulifera
Clethra alnifolia
Andromeda polifolia var. glaucophylla
Arctostaphylos uva-ursi
Calluna vulgaris
Chamaedaphne calyculata
Chimaphila umbellata ssp. cisatlantica
Corema conradii
Empetrum nigrum
